epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,32816.6,0.37396,0.20367,0.94703,0.99841,0.99935,0.99483,0.94499,0.37136,0.14449,0.88663,0.0015355,0.0015355,0.0015355
173,33006.9,0.37243,0.20302,0.94817,0.99834,0.99935,0.99483,0.9449,0.37142,0.14454,0.88664,0.001486,0.001486,0.001486
174,33197.2,0.36947,0.20216,0.94462,0.99828,0.99935,0.99483,0.94473,0.3714,0.14443,0.88661,0.0014365,0.0014365,0.0014365
175,33387.8,0.37237,0.20218,0.94507,0.99823,0.99935,0.99483,0.94475,0.37142,0.14452,0.88659,0.001387,0.001387,0.001387
176,33578.3,0.37067,0.19938,0.94587,0.99827,0.99935,0.99483,0.94474,0.3714,0.1444,0.8866,0.0013375,0.0013375,0.0013375
177,33768.7,0.36805,0.19727,0.94517,0.99822,0.99935,0.99483,0.94468,0.37144,0.14464,0.88662,0.001288,0.001288,0.001288
178,33959.1,0.36841,0.19729,0.94517,0.99824,0.99935,0.99483,0.94467,0.37148,0.1448,0.8866,0.0012385,0.0012385,0.0012385
179,34150.4,0.36925,0.19692,0.94357,0.99819,0.99935,0.99483,0.9445,0.37154,0.1448,0.88662,0.001189,0.001189,0.001189
180,34341.6,0.36557,0.19641,0.94402,0.99814,0.99935,0.99483,0.94426,0.37154,0.14471,0.88662,0.0011395,0.0011395,0.0011395
181,34532.7,0.3652,0.19683,0.94206,0.99823,0.99935,0.99483,0.94468,0.37152,0.14438,0.8866,0.00109,0.00109,0.00109
182,34723.8,0.36683,0.19619,0.94213,0.99827,0.99935,0.99483,0.94436,0.37157,0.1446,0.88659,0.0010405,0.0010405,0.0010405
183,34914.9,0.36485,0.194,0.94365,0.99827,0.99935,0.99483,0.94462,0.37158,0.1445,0.88661,0.000991,0.000991,0.000991
184,35106.2,0.36095,0.19193,0.94175,0.99827,0.99935,0.99483,0.94461,0.37159,0.14452,0.88665,0.0009415,0.0009415,0.0009415
